CaseId,ActivityId,Text,Activity,SpecificActivity
90,0,"Subject: Boat Hire Inquiry for Corporate Event - August 15th

Dear Boathire Team,

I hope this message finds you well. I am writing to inquire about hiring a boat for a corporate event we are planning. We are looking at hosting around 45 guests on the boat.

The event will take place on August 15th, and we would like the boat for the entire afternoon, preferably from 12:00 PM to 5:00 PM. We are also interested in catering services for the event, specifically a buffet lunch and some light refreshments throughout the afternoon. Could you please provide us with the catering options you offer and the respective costs?

Additionally, could you inform us about the various boats available within this capacity range and their rental rates?

Thank you in advance for your assistance. I look forward to your response.

Best regards,

Emily Harrison
Corporate Events Coordinator
Harrison Enterprises Ltd.
emily.harrison@harrisonent.co.uk
+44 1234 567890",Receive Enquiry,Receive Enquiry / Catered / Large Group
90,1,"Subject: Re: Boat Hire Inquiry for Corporate Event - August 15th

Dear Emily,

Thank you for reaching out to Boathire. We're delighted to hear you're considering our services for your upcoming corporate event. I’d be happy to provide you with the necessary information.

Based on your requirements of hosting 45 guests, I would recommend our boat, **The Aquaholic (for up to 60 people)**. This vessel is perfectly suited for your guest count and provides ample space for everyone to enjoy the event comfortably.

### Rental Rates and Availability:

The Aquaholic is available for your requested time slot on August 15th, from 12:00 PM to 5:00 PM. Here are the rental rates:

- **The Aquaholic (for up to 60 people)**: £1,800 for the entire afternoon (5 hours)

### Catering Options:

We offer a range of catering services tailored to your needs. Below are the catering options along with their respective costs:

1. **Buffet Lunch:**
   - Classic Buffet: £30 per person
     - Includes a variety of sandwiches, salads, cold meats, cheese platters, and desserts.
   - Premium Buffet: £45 per person
     - Includes a selection of gourmet sandwiches, luxury salads, seafood options, hot dishes, and premium desserts.

2. **Light Refreshments (throughout the afternoon):**
   - Basic Refreshments: £15 per person
     - Tea, coffee, soft drinks, and a selection of biscuits.
   - Premium Refreshments: £25 per person
     - Tea, coffee, soft drinks, premium juices, pastries, and high-end snacks.

### Total Cost Estimation:

Assuming you choose the Premium Buffet and Premium Refreshments for 45 guests, the approximate cost would be calculated as follows:

- Boat Hire: £1,800
- Catering (Premium Buffet): £45 x 45 = £2,025
- Refreshments (Premium): £25 x 45 = £1,125
  
**Total Estimated Cost: £4,950**

If you have any specific requests or dietary requirements for your guests, please let us know, and we can make the necessary arrangements.

Please feel free to reach out if you have any more questions or if you would like to proceed with the booking. We look forward to hosting your company’s event and making it a memorable experience for everyone.

Best regards,

James White
Boathire
info@boathire.co.uk
+44 5678 123456",Send Offer,Send Offer / Catered / Pier Pressure
90,2,"Subject: Confirmation of Booking for ""Pier Pressure"" - August 15th

Dear James,

Thank you for your detailed response and for the information provided. We would like to proceed with booking the ""Pier Pressure"" for our corporate event on August 15th, from 12:00 PM to 5:00 PM, as it best fits our needs.

Additionally, we will go with the Premium Buffet and Premium Refreshments for 45 guests. Please confirm the total cost and provide details on how we can proceed with the payment.

If there are any additional steps we need to take or information you require from us, please let us know.

Thank you for your assistance. We look forward to working with you to make this event a success.

Best regards,

Emily Harrison
Corporate Events Coordinator
Harrison Enterprises Ltd.
emily.harrison@harrisonent.co.uk
+44 1234 567890",Receive Booking,Receive Booking / Pier Pressure
91,0,"Subject: Boat Hire Enquiry for Corporate Event

Dear Boathire Team,

I hope this email finds you well.

I am writing to enquire about the availability of hiring a boat for a corporate event we are hosting. Here are the details:

- Event: Corporate Annual Celebration
- Number of Guests: 45
- Date: 20th November 2023
- Time: 3:00 PM - 8:00 PM
- Catering: Yes, required (preferably a selection of finger foods, beverages, and a dessert option)

Please could you provide me with information about the packages you offer, availability, and the cost of hiring the boat with catering included? Additionally, if there are any entertainment options available onboard, I would appreciate details on that as well.

Looking forward to your prompt response.

Best regards,

James Smith
Marketing Manager
Email: jamessmith@example.com
Phone: 01234 567890",Receive Enquiry,Receive Enquiry / Catered / Large Group
91,1,"Subject: Re: Boat Hire Enquiry for Corporate Event

Dear James Smith,

Thank you for reaching out to Boathire and considering us for your Corporate Annual Celebration. We are delighted to assist you with your enquiry.

Based on the details provided, I recommend our boat, The Aquaholic, which can accommodate up to 60 people, making it perfect for your event with 45 guests.

Here is an overview of the package and options available:

### The Aquaholic Charter Package:
- **Capacity:** Up to 60 guests
- **Date & Time:** 20th November 2023, 3:00 PM - 8:00 PM
- **Catering:** Yes (Selection of finger foods, beverages, and dessert options)
- **Entertainment Options:** Available upon request (options include live music, DJ services, and themed decorations)

#### Catering Details:
We offer a range of catering packages which can be customized based on your preferences. For your event, a typical selection may include:
- **Finger Foods:** Assorted canapés, sliders, vegetable platters
- **Beverages:** Soft drinks, wine, beer, and non-alcoholic options
- **Desserts:** Mini cakes, pastries, and fruit platters

#### Pricing:
- **Boat Hire:** £2,500 (for the 5-hour duration)
- **Catering Package:** Starts at £1,500 (final pricing depends on menu selection and special requests)
- **Entertainment Options:** Prices vary (please let us know your preferences for a detailed quote)

#### Availability:
As of the moment, The Aquaholic is available on 20th November 2023 from 3:00 PM to 8:00 PM. To secure your booking, we recommend confirming as soon as possible, given that our boats are in high demand during this season.

#### Booking Confirmation:
To proceed with your booking or if you have any further questions, please reply to this email or contact us directly at 01234 567890. We can also arrange a meeting to discuss your event requirements in more detail if you wish.

Thank you for considering Boathire for your corporate event. We look forward to the opportunity to host your celebration and make it an unforgettable occasion.

Best regards,

James
Boathire Team
Email: info@boathire.co.uk
Phone: 01234 567890",Send Offer,Send Offer / Catered / Pier Pressure
91,2,"Subject: Confirmation of Booking for Corporate Event

Dear James,

Thank you for your prompt response.

We would like to confirm the booking of the Pier Pressure for your Corporate Annual Celebration on 20th November 2023 from 3:00 PM to 8:00 PM.

Here are the details of your booking:

- **Event:** Corporate Annual Celebration
- **Number of Guests:** 45
- **Boat:** Pier Pressure
- **Date:** 20th November 2023
- **Time:** 3:00 PM - 8:00 PM
- **Catering:** Selection of finger foods, beverages, and dessert options
- **Entertainment:** Please specify your preferences, if any, so we can provide detailed options and pricing

#### Pricing:
- **Boat Hire:** £2,500 (for the 5-hour duration)
- **Catering Package:** Starts at £1,500 (final pricing depends on menu selection and special requests)
- **Entertainment Options:** Prices vary (based on your preferences)

To finalize your booking, please provide the following information:
1. Menu preferences for the catering package.
2. Any specific entertainment options you require.
3. Any special requests or additional services you might need.

Once we receive these details, we will send you a final quotation and a booking agreement. A 50% deposit will be required to secure the booking, with the balance due one week before the event.

Thank you once again for choosing Boathire. We are excited to host your corporate event on the Pier Pressure and will ensure it is a memorable occasion.

Best regards,

James
Boathire Team
Email: info@boathire.co.uk
Phone: 01234 567890",Receive Booking,Receive Booking / Pier Pressure
92,0,"Subject: Boat Hire Inquiry for Corporate Event - 15th June, 2024

Dear Boathire Team,

I hope this message finds you well.

I am writing to inquire about hiring a boat for a corporate event we are planning on the 15th of June, 2024. We expect to have around 45 guests and would like to arrange for catering as well.

Could you please provide details on the available boats that can accommodate our group size, as well as the catering options you offer? We are interested in a mid-afternoon through evening booking, with the event starting at 2:00 PM and concluding by 8:00 PM. Additionally, if you have any packages or special offers for corporate events, we would appreciate that information.

Thank you very much for your assistance. I look forward to hearing from you soon.

Best regards,

James Morgan  
Email: james.morgan@example.com  
Phone: +44 7123 456789",Receive Enquiry,Receive Enquiry / Catered / Large Group
92,1,"Subject: Re: Boat Hire Inquiry for Corporate Event - 15th June, 2024

Dear Mr. Morgan,

Thank you for reaching out to Boathire regarding your upcoming corporate event. We appreciate your interest in our services, and I'm happy to provide you with the information you requested.

For a group of 45 guests, we recommend chartering the Aquaholic, which can comfortably accommodate up to 60 people. This will give you ample space for your event and allow for a more comfortable experience for everyone.

### Catering Options:
We offer a range of catering options that can be customized to suit your event needs. Here are our standard packages:

- **Standard Buffet**: A selection of sandwiches, salads, finger foods, and desserts.
- **Gourmet Buffet**: Includes a variety of premium dishes such as smoked salmon, gourmet cheeses, artisan breads, and a selection of desserts.
- **Deluxe Sit-Down Dinner**: A three-course meal with starter, main course, and dessert options tailored to your preferences.

We can also accommodate any specific dietary requirements your guests may have (vegetarian, vegan, gluten-free, etc.). Please let us know your preferences, and we can arrange a bespoke menu for your event.

### Event Details:
- **Boat**: Aquaholic (up to 60 people)
- **Date**: 15th June, 2024
- **Time**: 2:00 PM - 8:00 PM
- **Catering**: As per chosen package

### Corporate Event Packages:
We do offer several packages for corporate events that include additional services such as:
- **Welcome drinks**
- **Decorations**
- **AV equipment for presentations**
- **Live entertainment or DJ**

We can provide a detailed quote based on the specific services you choose. Special discounts may be available depending on the package selected and the overall booking period.

Please let us know if there are any particular preferences or additional requirements for your event, and we can tailor a package to meet your needs.

Looking forward to hearing from you soon. Please feel free to contact me directly if you have any questions or require further assistance.

Best regards,

James  
Boathire  
Email: info@boathire.co.uk  
Phone: +44 20 7946 0958",Send Offer,Send Offer / Catered / Pier Pressure
92,2,"Subject: Confirming Booking of the Pier Pressure for Corporate Event - 15th June, 2024

Dear Boathire Team,

Thank you for your prompt and detailed response. 

After reviewing your recommendations, we have decided to proceed with the booking of the Pier Pressure for our corporate event on the 15th of June, 2024. 

Please confirm the following details for us:
- **Boat**: Pier Pressure
- **Date**: 15th June, 2024
- **Time**: 2:00 PM - 8:00 PM
- **Catering**: Gourmet Buffet (including options for vegetarian and gluten-free diets)
- **Additional Services**: Welcome drinks and AV equipment for presentations

Could you also please provide the total cost for the event, including any applicable discounts or special offers?

Thank you once again for your assistance. We look forward to finalizing the details and making this a memorable event for our guests.

Best regards,

James Morgan  
Email: james.morgan@example.com  
Phone: +44 7123 456789",Receive Booking,Receive Booking / Pier Pressure
93,0,"Subject: Boat Hire Inquiry for Corporate Event – 45 Guests

Dear Boathire Team,

I hope this email finds you well. I am writing to inquire about hiring one of your boats for a corporate event I am organising. Could you please provide me with some information on availability and pricing?

Details of the Event:
- Date: 20th July 2024
- Time: 3:00 PM to 8:00 PM
- Number of Guests: 45
- Event Type: Corporate Summer Celebration
- Catering: Yes, we require catering services

Furthermore, we would need a variety of catering options to accommodate different dietary requirements, including vegetarian and gluten-free options.

Could you please let me know the availability of a suitable boat for this date, as well as the catering menus and associated costs?

Thank you for your assistance. I look forward to your prompt response.

Kind regards,

Jonathan Smith  
Email: jonathan.smith@email.com  
Phone: 07123 456789",Receive Enquiry,Receive Enquiry / Catered / Large Group
93,1,"Subject: Re: Boat Hire Inquiry for Corporate Event – 45 Guests

Dear Jonathan,

Thank you for reaching out to Boathire regarding your upcoming corporate event. We appreciate your interest in our services.

Based on your provided details – a corporate summer celebration for 45 guests on the 20th of July, 2024, from 3:00 PM to 8:00 PM with catering – I am pleased to inform you that the Aquaholic, which accommodates up to 60 people, is available on your requested date and time.

Our catering services are flexible and designed to meet a variety of dietary requirements, including vegetarian and gluten-free options. We offer several catering packages, ranging from light refreshments and hors d'oeuvres to full-course meals. Below are some preliminary details about our catering packages:

1. **Silver Package:**
   - Array of finger foods and small bites
   - Assorted sandwiches (including vegetarian and gluten-free)
   - Soft drinks and water
   - Cost: £25 per person

2. **Gold Package:**
   - Selection of finger foods and small bites
   - Gourmet sandwiches and wraps (including vegetarian and gluten-free)
   - Salads and fruit platters
   - Soft drinks, water, and juices
   - Cost: £35 per person

3. **Platinum Package:**
   - Full three-course meal
   - Choice of appetizers, main courses (including vegetarian and gluten-free options), and desserts
   - Soft drinks, water, juices, and a selection of teas and coffees
   - Cost: £50 per person

To summarize, the total cost would comprise the boat hire fee for the Aquaholic plus the per-person cost of your selected catering package.

Would you like to proceed with a specific catering package or need any additional customization? Once I have this information, I can provide a full quote and reserve the boat for your event.

Please feel free to contact me via email or phone if you have any further questions or need more details.

Kind regards,

James  
Boathire Team  
Email: james@boathire.com  
Phone: 07000 111222",Send Offer,Send Offer / Catered / Pier Pressure
93,2,"Subject: Re: Boat Hire Inquiry for Corporate Event – 45 Guests

Dear James,

Thank you for your prompt response and the information provided.

After reviewing the options, I would like to proceed with booking the Pier Pressure for our corporate summer celebration on the 20th of July 2024, from 3:00 PM to 8:00 PM, with the Gold catering package.

Please confirm the booking and provide any additional details or next steps required to finalise the reservation.

Kind regards,

Jonathan Smith  
Email: jonathan.smith@email.com  
Phone: 07123 456789",Receive Booking,Receive Booking / Pier Pressure
94,0,"Subject: Boat Hire Inquiry for Birthday Party

Dear Boathire Team,

I hope this email finds you well.

I am planning a birthday party and am interested in hiring a boat for the event. We are expecting approximately 45 guests. The party is scheduled for Saturday, 25th November, and we would like to have the boat for the evening, from 6 PM to 10 PM.

Additionally, we require catering services for the event. Could you please provide details about your catering options and any menu recommendations suitable for a birthday celebration?

If you could also let me know the availability and pricing for this date and the specific boat types that are suitable for 45 people, it would be greatly appreciated.

Looking forward to your response.

Best regards,

James Turner
james.turner@example.com
07700 900123",Receive Enquiry,Receive Enquiry / Catered / Large Group
94,1,"Subject: Re: Boat Hire Inquiry for Birthday Party

Dear James Turner,

Thank you for reaching out to Boathire and for considering us for your upcoming birthday party. We are delighted to help you plan a memorable event on one of our boats.

For a party of approximately 45 guests, the most suitable option would be our crewed charter boat, Aquaholic, which has a capacity of up to 60 people. The boat is available for private event cruises and can be chartered with catering services.

Details for the charter:
- Boat: Aquaholic
- Date: Saturday, 25th November
- Time: 6 PM to 10 PM

We offer a range of catering options to suit various tastes and preferences. Here are some of our popular menu recommendations for birthday celebrations:

1. **Classic Buffet:**
   - Selection of sandwiches and wraps
   - Cheese and charcuterie board
   - Fresh fruit platter
   - Assorted pastries and cakes
   - Tea, coffee, and soft drinks

2. **Gourmet Dinner:**
   - Starters (e.g., Smoked salmon canapés, Mini quiches)
   - Main Course (e.g., Roast lamb with seasonal vegetables, Vegetarian lasagna)
   - Dessert (e.g., Chocolate mousse, Mini tarts)
   - Tea, coffee, and soft drinks
   - Wine and beer available upon request

3. **BBQ Party:**
   - Grilled meats (e.g., Chicken skewers, Burgers)
   - Vegetarian options (e.g., Grilled vegetables, Veggie burgers)
   - Salad bar
   - Desserts (e.g., Ice cream, Brownies)
   - Soft drinks and juices

Please let us know if you have any specific dietary requirements or preferences, and we can tailor the menu accordingly.

In terms of pricing, the cost for chartering the Aquaholic for the evening, including basic crew services and catering, is available upon request. We can provide a detailed quote once we have more information on your catering preferences and any additional services you may require.

As of now, the Aquaholic is available for the date and time you specified. However, availability can change quickly, so we recommend confirming your booking as soon as possible.

Please feel free to ask if you have any further questions or if you would like to proceed with the booking.

Looking forward to hearing from you soon.

Best regards,

James
Boathire Team
info@boathire.co.uk
01234 567890",Send Offer,Send Offer / Catered / Pier Pressure
94,2,"Subject: Confirming Booking of the Pier Pressure

Dear Boathire Team,

Thank you for your prompt and detailed response.

After reviewing the options, I would like to proceed with booking the Pier Pressure for my birthday party on Saturday, 25th November from 6 PM to 10 PM.

For catering, we would be interested in the Classic Buffet option, as described in your email. Please ensure that there are options for both vegetarians and non-vegetarians.

Could you kindly send me a detailed quote for this booking, including the cost of the boat hire and the Classic Buffet catering?

Please let me know if you need any further information from my side to finalise the booking.

Best regards,

James Turner
james.turner@example.com
07700 900123",Receive Booking,Receive Booking / Pier Pressure
95,0,"Subject: Enquiry for Boat Hire and Catering Services for Corporate Event

Dear Boathire Team,

I hope this message finds you well.

I am writing to enquire about the availability of a boat for hire on the 25th of November 2023, for a corporate event I am organising. We are expecting approximately 45 guests and would be needing the facilities from 2:00 PM to 7:00 PM on that day.

Additionally, we require catering services to be provided during the event. Please could you let me know what catering options are available, including any menu selections and pricing details?

Could you also inform me of the overall cost for hiring the boat for this duration and any other pertinent details we should be aware of?

Looking forward to your prompt response.

Best regards,

Charles Hamilton",Receive Enquiry,Receive Enquiry / Catered / Large Group
95,1,"Subject: Re: Enquiry for Boat Hire and Catering Services for Corporate Event

Dear Mr. Hamilton,

Thank you for reaching out to Boathire regarding your corporate event on the 25th of November 2023. We are pleased to hear of your interest in chartering one of our boats and are happy to assist you with your requirements.

Considering you expect approximately 45 guests, we recommend chartering the Aquaholic, which can comfortably accommodate your party of up to 60 people.

### Boat Charter Details:
- **Boat**: The Aquaholic
- **Date**: 25th November 2023
- **Time**: 2:00 PM to 7:00 PM
- **Capacity**: Up to 60 people
- **Charter Rate**: £1500 for the duration

### Catering Services:
We offer a variety of catering options to suit your needs, and our menu selections can be customized to fit your preferences. Here are some sample menus and pricing:

- **Buffet Menu**: Includes a selection of sandwiches, salads, cold cuts, cheese platters, fruit, and assorted desserts.
  - **Price**: £30 per person

- **Three-Course Meal**: Includes a starter, main course, and dessert. Vegetarian and vegan options are available.
  - **Price**: £50 per person

- **Canapés and Drinks**: A variety of canapés and a selection of alcoholic and non-alcoholic beverages.
  - **Price**: £40 per person

### Estimated Total Cost:
- **Boat Hire**: £1500
- **Catering (Buffet Menu)**: £30 * 45 guests = £1350
- **Total Estimated Cost**: £2850

Please note that these prices are inclusive of VAT but do not include any additional requests such as live entertainment or specific décor, which we can provide upon request.

### Additional Information:
- **Booking Confirmation**: A deposit of 50% is required to secure your booking.
- **Catering Preferences**: Please inform us of any dietary restrictions or special requests.
- **Weather Contingency**: In the event of inclement weather, we have provisions to ensure the comfort and enjoyment of your guests.

If you have any further questions or would like to proceed with booking, please let us know at your earliest convenience. We look forward to making your corporate event a memorable experience.

Best regards,

James  
Boathire Team  
[Contact Information]",Send Offer,Send Offer / Catered / Pier Pressure
95,2,"Subject: Confirmation of Booking for Corporate Event – 25th November 2023

Dear James,

Thank you for your prompt and detailed response.

I would like to confirm the booking of the Pier Pressure for our corporate event on the 25th of November, 2023, preferably from 2:00 PM to 7:00 PM. We will go with the buffet menu for catering.

Please provide details on how to proceed with the deposit payment and any further steps necessary to finalise the booking.

Best regards,

Charles Hamilton",Receive Booking,Receive Booking / Pier Pressure
96,0,"Subject: Boat Hire for Corporate Event on 15th December

Dear Boathire Team,

I hope this email finds you well.

My name is Sarah Jennings, and I am planning a corporate event for our company on the 15th of December. We are looking to hire a boat to accommodate 40 guests. The event will be a day cruise, starting at 10 AM and concluding at 4 PM.

In addition to the boat hire, we would require catering services for the duration of the event. Could you please provide details on the catering options available and any associated costs?

I would appreciate it if you could send me a quote and any further information necessary to proceed with the booking.

Thank you for your assistance.

Best regards,

Sarah Jennings
sarah.jennings@email.com
+44 1234 567890",Receive Enquiry,Receive Enquiry / Catered / Large Group
96,1,"Subject: Re: Boat Hire for Corporate Event on 15th December

Dear Sarah,

Thank you for reaching out to Boathire and considering us for your corporate event. We are delighted to assist you with your requirements.

For an event accommodating 40 guests, our vessel ""The Aquaholic,"" which caters for up to 60 people, would be a perfect match.

### Catering Options
We offer a variety of catering packages to suit different preferences. Here are our standard options:

1. **Continental Breakfast (10 AM - 11 AM)**:
   - Pastries, muffins, fresh fruit, coffee, and tea.
   - Price: £15 per person.

2. **Buffet Lunch (12 PM - 2 PM)**:
   - Assorted sandwiches, salads, cold cuts, cheeses, and desserts.
   - Price: £25 per person.

3. **Afternoon Tea (3 PM - 4 PM)**:
   - Scones with clotted cream and jam, assorted cakes, and tea.
   - Price: £20 per person.

#### Comprehensive Package:
   - Includes all three meals (Breakfast, Lunch, and Afternoon Tea).
   - Discounted Price: £50 per person.

### Cost Breakdown:
- **Boat Hire (The Aquaholic)**: £1,500 (10 AM - 4 PM)
- **Catering for 40 Guests**: 
   - Continental Breakfast (£15 x 40): £600
   - Buffet Lunch (£25 x 40): £1,000
   - Afternoon Tea (£20 x 40): £800
   - Comprehensive Package: (£50 x 40): £2,000 (recommended)

### Total Cost:
- **Boat Hire + Comprehensive Catering Package**: £3,500

Please let us know if you have any special dietary requirements or specific preferences for the menu. We are happy to customize our offerings to suit your needs.

To proceed with the booking, kindly confirm your interest, and we will send you the necessary documentation and further instructions.

Thank you for considering Boathire for your corporate event, and we look forward to making your event unforgettable.

Best regards,

James
Boathire Team
info@boathire.com
+44 1234 567890",Send Offer,Send Offer / Catered / Pier Pressure
96,2,"Subject: Confirmation of Booking for ""Pier Pressure"" on 15th December

Dear James,

Thank you for the detailed information provided. I would like to confirm the booking of the boat ""Pier Pressure"" for our corporate event on the 15th of December.

Please proceed with the comprehensive catering package for 40 guests as outlined in your previous email.

Could you please send me the necessary documentation and instructions to finalize the booking?

Thank you for your assistance.

Best regards,

Sarah Jennings
sarah.jennings@email.com
+44 1234 567890",Receive Booking,Receive Booking / Pier Pressure
97,0,"Subject: Enquiry for Boat Hire for Corporate Event on 15th November

Dear Boathire Team,

I hope this message finds you well.

I am organising a corporate event for our company on 15th November and am interested in hiring a boat for this occasion. We are expecting around 40 guests and would require catering services for the event.

Here are the details for the event:
- Date: 15th November
- Time: 6:00 PM to 10:00 PM
- Number of Guests: 40
- Catering: We would like to have a selection of canapés, a buffet dinner, and a range of beverages (both alcoholic and non-alcoholic).

Could you please provide information on the available boats that can accommodate our group size, as well as the catering options you offer? Additionally, could you let me know the pricing and any other relevant details or packages you might have?

Looking forward to hearing from you soon.

Best regards,
James Thornton
Marketing Manager
[Your Company Name]
[Your Contact Information]",Receive Enquiry,Receive Enquiry / Catered / Large Group
97,1,"Subject: Re: Enquiry for Boat Hire for Corporate Event on 15th November

Dear James Thornton,

Thank you for considering Boathire for your upcoming corporate event. We are delighted to assist you in planning a memorable evening for your guests.

Based on the details provided, I recommend the Aquaholic, which can comfortably accommodate up to 60 people, making it an ideal choice for your party of 40 guests. This boat is available with full catering services.

For the event on the 15th of November from 6:00 PM to 10:00 PM, we offer the following catering options:

**Catering Options:**
1. **Canapés Selection:**
   - Assorted Canapés including vegetarian and non-vegetarian options
   - Premium Canapés for a more luxurious touch

2. **Buffet Dinner:**
   - Standard Buffet: A variety of meats, seafood, and vegetarian dishes with side accompaniments.
   - Premium Buffet: An upgraded selection featuring gourmet dishes and premium ingredients.

3. **Beverages:**
   - Alcoholic: A selection of wines, beers, and spirits
   - Non-Alcoholic: Soft drinks, juices, and mocktails

**Pricing:**
- Charter Fee for the Aquaholic: £1,500 for the 4-hour duration
- Standard Canapés and Buffet: £50 per person
- Premium Canapés and Buffet: £75 per person
- Beverages Package: £20 per person (alcoholic), £10 per person (non-alcoholic)

**Total Cost Estimate for Standard Package:**
- Charter Fee: £1,500 
- Catering: £50 x 40 guests = £2,000
- Beverages: 
   - Alcoholic for 40 guests: £800 
   - Non-Alcoholic for 40 guests: £400 

**Total for Standard Package (With Alcoholic Beverage Package):** £4,300
**Total for Standard Package (With Non-Alcoholic Beverage Package):** £3,900

For the Premium Package, please add an extra £25 per person to the catering cost.

Additionally, please let us know if you require any special arrangements, such as decorations, music, or specific dietary requirements for your guests, and we will be happy to accommodate.

We are committed to making your event a success and will ensure every detail is perfectly managed.

Please do not hesitate to get in touch if you have any questions or if you would like to proceed with a booking.

Looking forward to your response.

Best regards,

James  
Boathire Team  
[Your Contact Information]",Send Offer,Send Offer / Catered / Pier Pressure
97,2,"Subject: Confirmation of Booking - Pier Pressure for Corporate Event on 15th November

Dear Boathire Team,

Thank you for your prompt response and detailed information.

I would like to proceed with the booking of the Pier Pressure for our corporate event on 15th November from 6:00 PM to 10:00 PM. 

Please confirm the availability of the Pier Pressure for this date and time. Also, I would like to go ahead with the Standard Canapés and Buffet package, along with the Alcoholic Beverages Package for our 40 guests.

Please provide instructions on the next steps to finalise this booking, including any deposit or payment details.

Looking forward to your confirmation.

Best regards,  
James Thornton  
Marketing Manager  
[Your Company Name]  
[Your Contact Information]",Receive Booking,Receive Booking / Pier Pressure
98,0,"Subject: Boat Hire Inquiry for Corporate Event - Catering Required

Dear Boathire Team,

I hope this email finds you well.

I am looking to hire a boat for a corporate event we are planning for our company, and I would greatly appreciate some information regarding your available options. The event will be attended by 45 guests and is scheduled for Friday, the 18th of November. We plan to start the event at 6:00 PM and would like to sail for roughly 4 hours, returning by 10:00 PM.

Additionally, we require catering services for the evening. We would be interested in understanding what dining options you have available, including any menu selections, beverage packages, and additional services you may offer to enhance our event.

Could you also please provide details on the types of boats you have that can accommodate our group size, along with pricing and any other relevant information we should consider?

Thank you very much for your assistance. I look forward to your response.

Best regards,

Oliver Smith

[Your Contact Information]  
[Your Company Name]",Receive Enquiry,Receive Enquiry / Catered / Large Group
98,1,"Subject: Re: Boat Hire Inquiry for Corporate Event - Catering Required

Dear Mr. Smith,

Thank you for reaching out to Boathire regarding your upcoming corporate event. We are thrilled at the opportunity to host your company for what we’re sure will be a memorable evening on the water.

Given that you will be accommodating 45 guests, I would recommend The Aquaholic, which can comfortably host up to 60 people. This ensures ample space for your attendees to enjoy the event. The Aquaholic is perfect for corporate events, offering an elegant setting that is both professional and enjoyable.

### Boat Details:
- **The Aquaholic**
  - Capacity: Up to 60 people
  - Event Duration: 6:00 PM to 10:00 PM
  - Price: £2,500 for the 4-hour charter

### Catering Services:
We offer a variety of dining options to suit your event’s needs. Below are some examples of our catering packages:

1. **Standard Buffet Menu** - £25 per person
   - Assorted sandwiches and wraps
   - Selection of salads
   - Hot finger foods (mini sausages, samosas, spring rolls)
   - Dessert selection (cakes, pastries, fruit platter)

2. **Premium Buffet Menu** - £40 per person
   - Assorted gourmet sandwiches and wraps
   - Exotic salads (quinoa, chickpea, and roasted vegetables)
   - Hot food platters (mini sliders, chicken skewers, stuffed mushrooms)
   - Dessert selection (flavoured cheesecakes, chocolate fondue, fruit platter)

3. **Beverage Packages**
   - **Non-Alcoholic Package** - £10 per person: Selection of juices, soft drinks, and mineral water
   - **Standard Alcoholic Package** - £25 per person: House wines, beers, and soft drinks
   - **Premium Alcoholic Package** - £40 per person: Fine wines, craft beers, spirits, and soft drinks

### Additional Services:
Boathire strives to enhance your event experience. We also offer:
- **DJ and audio/visual equipment rental**: £500
- **Professional photography services**: £300
- **Event planning assistance**: Please inquire for more details

Please let us know if you have any specific dietary requirements or if there are any other services you would like to include to tailor your event. We would also be happy to provide a detailed quote based on your specific selections.

I look forward to your reply and to assisting you further with your event planning.

Best regards,

James  
Boathire  
[Email Address]  
[Phone Number]  
[Company Website]",Send Offer,Send Offer / Catered / Pier Pressure
98,2,"Subject: Confirmation of Boat Hire Booking - Pier Pressure

Dear James,

Thank you for providing all the necessary details for our upcoming corporate event. After reviewing the options, we would like to proceed with booking The Pier Pressure for our event on Friday, the 18th of November.

To confirm:

- **Boat**: Pier Pressure
- **Event Date**: 18th November
- **Event Time**: 6:00 PM - 10:00 PM
- **Number of Guests**: 45

Additionally, we would like to opt for the following catering and beverage packages:
- **Catering Package**: Premium Buffet Menu - £40 per person
- **Beverage Package**: Premium Alcoholic Package - £40 per person

We would also like to include the DJ and audio/visual equipment rental for the evening.

Please let us know the next steps and any further information you require to confirm this booking. If a deposit or payment is needed to secure the booking, kindly provide the payment details.

Thank you for your assistance. We are looking forward to the event.

Best regards,

Oliver Smith

[Your Contact Information]  
[Your Company Name]",Receive Booking,Receive Booking / Pier Pressure
99,0,"Subject: Inquiry About Boat Hire for Event on 15th August

Dear Boathire Team,

I hope this message finds you well.

I am writing to inquire about the availability and options for hiring a boat for an upcoming event we are planning to host. The details are as follows:

- **Event:** Company Anniversary Celebration
- **Date:** 15th August 2023
- **Time:** 6:00 PM - 10:00 PM
- **Number of Guests:** 45
- **Catering:** Yes, required

As this is a special event, we would like to discuss catering options and any available packages that include food and beverages. Additionally, if you offer any entertainment services or additional amenities, we would be keen to hear about those too. 

Please let us know the availability of a suitable boat for this date and provide a detailed quotation. If there are any requirements or recommendations for such an event, your advice would be highly appreciated.

Thank you for your assistance, and I look forward to your prompt response.

Kind regards,

Oliver Adams
[Your Contact Information]",Receive Enquiry,Receive Enquiry / Catered / Large Group
